k,state,Q_total,n_modules,module_pvalues,n_sig_fdr_0.05,n_sig_fdr_0.01,n_sig_bonf_0.05
10,6,0.5975989180334212,5,"[9.99900010e-05 9.99900010e-05 2.95070493e-01 9.99900010e-05
 9.99900010e-05]",4,4,4
10,5,0.6560792155363894,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
10,9,0.6740931764168276,7,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 1.79782022e-01 1.46485351e-01 9.99900010e-05]",5,5,5
10,0,0.6559556695081583,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
10,7,0.6165417621262592,5,[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05],5,5,5
10,2,0.6281810460399393,5,[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05],5,5,5
10,1,0.6023044287510813,6,"[9.99900010e-05 2.99970003e-04 9.99900010e-05 5.31946805e-02
 5.69943006e-03 6.17038296e-01]",4,4,4
10,8,0.6355505604794406,5,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 1.99980002e-04
 9.99900010e-05]",5,5,5
10,4,0.6550717326144172,6,"[9.99900010e-05 9.99900010e-05 1.55184482e-01 9.99900010e-05
 9.99900010e-05 9.99900010e-05]",5,5,5
3,2,0.6473239071655343,5,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 1.99980002e-04
 9.99900010e-05]",5,5,5
3,1,0.5844404777171737,7,"[2.12978702e-02 9.99900010e-05 2.96370363e-01 9.99900010e-05
 9.99900010e-05 6.78932107e-02 5.99940006e-04]",5,4,4
3,0,0.6375498227442543,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
6,1,0.6342665915369785,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
6,4,0.6278427737013248,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
6,2,0.5824472667335356,4,[9.99900010e-05 9.99900010e-05 9.99900010e-05 1.29987001e-03],4,4,4
6,5,0.6183597331058539,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
6,0,0.6309677545866657,5,[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05],5,5,5
6,3,0.6346280821074878,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 5.06949305e-02
 9.99900010e-05 9.99900010e-05]",5,5,5
14,13,0.590111085087597,4,[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05],4,4,4
14,2,0.6383612525215258,7,"[9.99900010e-05 9.99900010e-05 1.39986001e-03 2.99970003e-04
 9.99900010e-05 1.47685231e-01 9.99900010e-05]",6,6,6
14,7,0.642189567765731,6,"[9.99900010e-05 9.99900010e-05 1.57484252e-01 9.99900010e-05
 9.99900010e-05 9.99900010e-05]",5,5,5
14,4,0.6278786907234363,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
14,10,0.6399340329009124,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
14,1,0.6418435082251204,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 3.99960004e-04 9.99900010e-05]",6,6,6
14,8,0.6183846169008601,6,"[9.99900010e-05 9.99900010e-05 3.79962004e-03 9.99900010e-05
 9.99900010e-05 1.99980002e-04]",6,6,6
14,6,0.6670559329009867,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 3.41065893e-01 9.99900010e-05]",5,5,5
14,3,0.6380582901509698,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 4.11958804e-02
 4.99950005e-04 9.99900010e-05]",6,5,5
14,12,0.6064315877087217,5,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 3.17968203e-01
 9.99900010e-05]",4,4,4
14,9,0.6282937929958318,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
14,0,0.6391335048880928,7,"[9.99900010e-04 9.99900010e-05 2.39876012e-01 9.99900010e-05
 9.99900010e-05 2.14178582e-01 3.96960304e-02]",4,4,4
14,11,0.5861867344930665,5,"[9.99900010e-05 9.99900010e-05 1.99980002e-04 1.38186181e-01
 4.39956004e-03]",4,4,4
14,5,0.6662123343498392,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 1.99980002e-04 9.99900010e-05]",6,6,6
7,6,0.6436721045558953,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 1.26687331e-01 3.45265473e-01]",4,4,4
7,3,0.6426637899854641,7,"[9.99900010e-05 3.89961004e-03 9.99900010e-05 9.99900010e-05
 9.99900010e-05 9.99900010e-05 9.99900010e-05]",7,7,7
7,0,0.6134533503841682,6,"[9.99900010e-05 9.99900010e-05 1.19988001e-02 9.99900010e-05
 9.99900010e-05 9.99900010e-05]",6,5,5
7,5,0.6196524202951272,7,"[9.99900010e-05 9.99900010e-05 1.46185381e-01 9.99900010e-05
 9.99900010e-05 1.79982002e-03 5.99940006e-04]",6,6,6
7,2,0.6371608023895885,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 6.70932907e-02
 1.99980002e-04 9.99900010e-05]",5,5,5
7,4,0.6634922364141961,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 1.39986001e-03 9.99900010e-05]",6,6,6
7,1,0.5735320011897861,6,"[1.76982302e-02 9.99900010e-05 9.99900010e-05 9.99900010e-05
 1.42485751e-01 3.99960004e-04]",5,4,4
5,4,0.6333069408191632,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
5,1,0.622630618012769,5,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 1.74382562e-01
 9.99900010e-05]",4,4,4
5,2,0.6271712561932448,5,"[9.99900010e-05 9.99900010e-05 2.61373863e-01 9.99900010e-05
 9.99900010e-05]",4,4,4
5,0,0.6023237350682604,6,"[9.99900010e-05 1.99980002e-04 9.99900010e-05 4.15958404e-02
 6.09939006e-03 6.34036596e-01]",5,4,4
5,3,0.6555927790118783,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
4,3,0.6315976466384099,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 1.99980002e-04 9.99900010e-05]",6,6,6
4,0,0.6234709757170606,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
4,2,0.6587771999035057,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 1.99980002e-04
 4.59954005e-03 9.99900010e-05]",6,6,6
4,1,0.5794634751967581,6,"[1.90980902e-02 9.99900010e-05 9.99900010e-05 9.99900010e-05
 1.73082692e-01 1.29987001e-03]",5,4,4
